run_id,timestamp,scene_id,concept,prompt,provider,qa_score,word_count,sentence_count,abstract_terms,concrete_terms,vfx_terms,camera_terms,concrete_ratio,achievability_score
20260107_092954,,scene_1,A 30-second video about a developer building an AI app,"A developer sitting at a modern workstation with multiple monitors, typing code, focused and determined",unknown,0,15,1,0,1,0,0,inf,55.0
20260107_092954,,scene_2,A 30-second video about a developer building an AI app,"Close-up of the developer's face with a lightbulb icon or thought bubble appearing, showing the moment of inspiration",unknown,0,18,1,0,2,0,1,inf,63.0
20260107_092954,,scene_3,A 30-second video about a developer building an AI app,"Screen showing clean, organized code with AI-related functions and frameworks visible",unknown,0,11,1,0,1,0,0,inf,55.0
20260107_092954,,scene_4,A 30-second video about a developer building an AI app,"Split screen showing data processing graphs, neural network visualizations, and training progress bars",unknown,0,13,1,1,1,0,0,1.0,47.0
20260107_092954,,scene_5,A 30-second video about a developer building an AI app,Design software showing sleek mobile app interface being crafted with AI chat components and modern UI elements,unknown,0,17,1,0,1,0,0,inf,55.0
20260107_092954,,scene_6,A 30-second video about a developer building an AI app,"Multiple devices showing the app running, with test results and performance metrics displayed",unknown,0,13,1,0,0,0,0,1.0,50.0
20260107_092954,,scene_7,A 30-second video about a developer building an AI app,Finger hovering over and then pressing a 'Deploy' or 'Launch' button with satisfying button press animation,unknown,0,16,1,0,0,0,0,1.0,50.0
20260107_092954,,scene_8,A 30-second video about a developer building an AI app,"Wide shot of the developer smiling with arms crossed, app icon floating nearby with download counters and positive reviews",unknown,0,19,1,0,0,1,1,1.0,43.0
20260107_093135,,scene_1,A 30-second video about a developer building an AI app,"Clean shot of a developer sitting at a modern desk with multiple monitors, keyboard, and coffee cup. Developer is focused on coding with AI development tools visible on screen.",unknown,0,29,2,0,6,0,0,inf,80.0
20260107_093135,,scene_2,A 30-second video about a developer building an AI app,"Close-up of computer screen showing AI-related code, machine learning libraries, and neural network diagrams. Code appears to be Python or JavaScript with AI frameworks.",unknown,0,24,2,0,1,0,1,inf,58.0
20260107_093135,,scene_3,A 30-second video about a developer building an AI app,"Abstract visualization showing a digital brain connected to circuit patterns, representing AI neural networks and machine learning concepts.",unknown,0,18,1,3,0,0,0,0.0,26.0
20260107_093135,,scene_4,A 30-second video about a developer building an AI app,"Clean mockup of a smartphone displaying the AI app interface with modern UI elements, chat bubbles, and AI response indicators.",unknown,0,20,1,0,2,0,0,inf,60.0
20260107_093135,,scene_5,A 30-second video about a developer building an AI app,"Split screen showing code debugging on one side and app testing on the other, with error logs and successful test indicators.",unknown,0,21,1,0,1,0,0,inf,55.0
20260107_093135,,scene_6,A 30-second video about a developer building an AI app,"Visual representation of the app being deployed to cloud servers, showing upload progress bars and server connection indicators.",unknown,0,18,1,0,0,0,0,1.0,50.0
20260107_093135,,scene_7,A 30-second video about a developer building an AI app,"World map showing connection points lighting up as users around the globe start using the AI app, with user icons and interaction indicators.",unknown,0,23,1,0,1,0,0,inf,55.0
20260107_093135,,scene_8,A 30-second video about a developer building an AI app,"Clean presentation of the company logo or app name with a simple call to action text, emphasizing the achievement of building an AI solution.",unknown,0,24,1,0,0,0,1,1.0,53.0
20260107_093749,,scene_1,A 30-second video about a developer building an AI app,Close-up shot of a developer's hands typing on a laptop keyboard with code visible on the screen,unknown,0,17,1,0,5,0,1,inf,78.0
20260107_093749,,scene_2,A 30-second video about a developer building an AI app,"Screen capture showing clean, organized code with AI/ML imports and function definitions",unknown,0,12,1,0,1,0,0,inf,55.0
20260107_093749,,scene_3,A 30-second video about a developer building an AI app,Static visualization showing neural network diagram with data flowing through nodes,unknown,0,11,1,1,0,0,0,0.0,42.0
20260107_093749,,scene_4,A 30-second video about a developer building an AI app,Clean mockup of mobile app interface with AI chat elements and modern UI components,unknown,0,14,1,0,1,0,0,inf,55.0
20260107_093749,,scene_5,A 30-second video about a developer building an AI app,Split screen showing terminal with test results and app running on mobile device,unknown,0,13,1,0,1,0,0,inf,55.0
20260107_093749,,scene_6,A 30-second video about a developer building an AI app,Clean graphic showing app upload progress bar and cloud deployment icons,unknown,0,11,1,0,0,0,0,1.0,50.0
20260107_093749,,scene_7,A 30-second video about a developer building an AI app,Clean shot of hands holding smartphone with the finished AI app running smoothly,unknown,0,13,1,0,3,0,0,inf,65.0
